"person_id","person_type","crash_record_id","rd_no","vehicle_id","crash_date","seat_no","city","state","zipcode","sex","age","drivers_license_state","drivers_license_class","safety_equipment","airbag_deployed","ejection","injury_classification","hospital","ems_agency","ems_run_no","driver_action","driver_vision","physical_condition","pedpedal_action","pedpedal_visibility","pedpedal_location","bac_result","bac_result_value","cell_phone_use"
"P280608","PASSENGER","829f990cb5d2861fa310e4838e63e01bc726449fa23007b1989d43f380a05d9bf594b1d55dbd85e3602567ce56f5a743e112ccb37c45e3aee44c87317519f0d2","JE493538","1191424","2021-12-31T01:39:00.000","5","CHICAGO","IL",,,,,,"SAFETY BELT USED","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,,,,,,,,,
"P280609","PASSENGER","829f990cb5d2861fa310e4838e63e01bc726449fa23007b1989d43f380a05d9bf594b1d55dbd85e3602567ce56f5a743e112ccb37c45e3aee44c87317519f0d2","JE493538","1191424","2021-12-31T01:39:00.000","3","DANVILLE","IL","61832",,,,,"SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,,,,,,,,,
"O1255145","DRIVER","87ac9b1f0ff7adf2d1e73866cea29aefaca781974117610106f5c90ecdcaaec6190f9c5da1fc770185076d8ed6320d1bdf250362169a20dd2405769cfdc4dfb9","JE493533","1191416","2021-12-31T01:35:00.000",,"PALATINE","IL","60074","M","42","IL","D","USAGE UNKNOWN","DEPLOYED, FRONT","NONE","NO INDICATION OF INJURY",,,,"UNKNOWN","UNKNOWN","NORMAL",,,,"TEST NOT OFFERED",,
"O1255144","DRIVER","fb3be6ee6fa6e655abbf47cbcbd3ad5702c49e96fd632f3db78eced62f0c34666e5e57c79a4c9b18719b5d967017f2a92d6c395d22c1fc42d64174beb49f2ca9","JE493534","1191418","2021-12-31T01:18:00.000",,,,,"M",,,,"USAGE UNKNOWN","DEPLOYED, FRONT","NONE","NO INDICATION OF INJURY",,,,"UNKNOWN","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1255136","DRIVER","16365221cf4132354a3ac453eb5cde37a8eafe2c2825ac0c16463eb3b95bcd9b1c832e2d152c23b68ea960419afc4ed7d588ff96b8a48cad6888f53649bc3dd6","JE493529","1191410","2021-12-31T01:06:00.000",,,,,"X",,,,"USAGE UNKNOWN","DEPLOYMENT UNKNOWN","UNKNOWN","NO INDICATION OF INJURY",,,,"UNKNOWN","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1255130","DRIVER","0d2ee59ce28bef717715d9552af63bb8ca5de0ab1a073a6d79298dcc94a05c4282f725d11ac3af5006ba881ed2c3d8037b4e8153b211df4ef70e644aebadb20a","JE493513","1191404","2021-12-31T01:03:00.000",,,,,"M",,,,"USAGE UNKNOWN","DEPLOYMENT UNKNOWN","NONE","NO INDICATION OF INJURY",,,,"UNKNOWN","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1256314","DRIVER","198e101f51f905de6317d8df3cf019dd65716ee12ab5484860507d9c336ae0ab5f95803dd473a6076eb49a2fa9a6c214157bb30090279e360855343955bdebd1","JF101273","1192499","2021-12-31T01:00:00.000",,,,,"X",,,,"USAGE UNKNOWN","DEPLOYMENT UNKNOWN","NONE","NO INDICATION OF INJURY",,,,"IMPROPER PASSING","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1256315","DRIVER","198e101f51f905de6317d8df3cf019dd65716ee12ab5484860507d9c336ae0ab5f95803dd473a6076eb49a2fa9a6c214157bb30090279e360855343955bdebd1","JF101273","1192505","2021-12-31T01:00:00.000",,"CHICAGO","IL","60643","M","40","IL","D","SAFETY BELT USED","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1255139","DRIVER","51d9c6c4386b9fddaaadd8681e1cbe62fff5216782fa8c41359e0151d7d261930b827c82750bbe0fc17f64f659ec3adb1bbe85bfaa0b4c1f5c4d216854d19bf8","JE493524","1191413","2021-12-31T01:00:00.000",,,,,"M",,,,"NONE PRESENT","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,"IMPROPER BACKING","NOT OBSCURED","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1255134","DRIVER","20d09ec30238f215edf1b854d4f0cc43e1fe591c2c35842b650b061e1b2b9140737c50d0517abfb5a6d6946e937d9c79bbad68b5463f5a2119731b97cc32a001","JE493508","1191407","2021-12-31T00:50:00.000",,,,,"F",,,,"USAGE UNKNOWN","DEPLOYED, FRONT","UNKNOWN","NO INDICATION OF INJURY",,,,"OTHER","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1255135","DRIVER","20d09ec30238f215edf1b854d4f0cc43e1fe591c2c35842b650b061e1b2b9140737c50d0517abfb5a6d6946e937d9c79bbad68b5463f5a2119731b97cc32a001","JE493508","1191408","2021-12-31T00:50:00.000",,"LAS CRUCES","NM","88001","M","26","NM",,"SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1255154","DRIVER","47d1a97d5ec69e0165405bb992123d074ef33dbc15744a9a6ad03d079bd0113e2015f84b455cbf6bc59cb873228749159156b9d8269572b37de03b2b063b62f5","JE493557","1191427","2021-12-31T00:50:00.000",,,,,"X",,,,"USAGE UNKNOWN","DEPLOYMENT UNKNOWN","UNKNOWN","NO INDICATION OF INJURY",,,,"DISREGARDED CONTROL DEVICES","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1255155","DRIVER","47d1a97d5ec69e0165405bb992123d074ef33dbc15744a9a6ad03d079bd0113e2015f84b455cbf6bc59cb873228749159156b9d8269572b37de03b2b063b62f5","JE493557","1191425","2021-12-31T00:50:00.000",,"CHICAGO","IL","60636","F","23","IL","D","USAGE UNKNOWN","DEPLOYED, COMBINATION","NONE","NONINCAPACITATING INJURY",,,,"UNKNOWN","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"P280610","PASSENGER","47d1a97d5ec69e0165405bb992123d074ef33dbc15744a9a6ad03d079bd0113e2015f84b455cbf6bc59cb873228749159156b9d8269572b37de03b2b063b62f5","JE493557","1191425","2021-12-31T00:50:00.000","3","CHICAGO","IL","60624","M","26",,,"USAGE UNKNOWN","DEPLOYED, FRONT","NONE","NONINCAPACITATING INJURY",,,,,,,,,,,,
"O1255141","DRIVER","fe25fa42956a9a38f3925423ec61aeed1dcf10df4f5433d134826818402ed5e5d019cd8ff6bd4459a935a0c5406eaae4dc72b607de77827701b61cf3c481ef8e","JE493521","1191415","2021-12-31T00:30:00.000",,,,,"X",,,,"USAGE UNKNOWN","DEPLOYMENT UNKNOWN","NONE","NO INDICATION OF INJURY",,,,"TOO FAST FOR CONDITIONS","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1255142","DRIVER","fe25fa42956a9a38f3925423ec61aeed1dcf10df4f5433d134826818402ed5e5d019cd8ff6bd4459a935a0c5406eaae4dc72b607de77827701b61cf3c481ef8e","JE493521","1191422","2021-12-31T00:30:00.000",,"CHICAGO","IL","60656","M","63","IL","D","SAFETY BELT USED","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,"UNKNOWN","UNKNOWN","NORMAL",,,,"TEST REFUSED",,
"O1255124","DRIVER","330e45f9dcdb2f81415fd4a3c8e7220ca0c72188115a80ad78182a1d6e685f32366de17001aeeab7d60bcefbfaa67a4245610b8b0d32b90b52f821a09e316022","JE493499","1191391","2021-12-31T00:25:00.000",,"CHICAGO","IL","60634","F","38","IL","D","USAGE UNKNOWN","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY","REFUSED",,,"IMPROPER TURN","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1255125","DRIVER","330e45f9dcdb2f81415fd4a3c8e7220ca0c72188115a80ad78182a1d6e685f32366de17001aeeab7d60bcefbfaa67a4245610b8b0d32b90b52f821a09e316022","JE493499","1191397","2021-12-31T00:25:00.000",,"CHICAGO","IL","60620","M","20","IL","D","USAGE UNKNOWN","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY","REFUSED",,,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1255129","DRIVER","6fad8c9a800348db33d77104ef7df6350adb469bd68df459283a5e5237574c00b3644bcb06d91f25bd448d2981a8fd7ab35e2e8006348ef0c3fd889c60138a29","JE493500","1191402","2021-12-31T00:24:00.000",,"CHICAGO","IL",,"F","23","IL",,"SAFETY BELT USED","DEPLOYED, FRONT","NONE","NO INDICATION OF INJURY",,,,"UNKNOWN","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1255118","DRIVER","26ff5334ad2f96acdfc3dab210f2f59d77f387af4b071c9128d096be71cd32baacf670426879c6685bce57ff3e3c2fbc407ee9dddfdf69c651ee6dbe2f40e224","JE493491","1191390","2021-12-31T00:04:00.000",,"SKOKIE","IL","60077","M","54","IL","D","USAGE UNKNOWN","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,"IMPROPER TURN","UNKNOWN","NORMAL",,,,"TEST NOT OFFERED",,
"O1255119","DRIVER","26ff5334ad2f96acdfc3dab210f2f59d77f387af4b071c9128d096be71cd32baacf670426879c6685bce57ff3e3c2fbc407ee9dddfdf69c651ee6dbe2f40e224","JE493491","1191395","2021-12-31T00:04:00.000",,"CHICAGO","IL","60616","F","25","IL","D","NONE PRESENT","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,"NONE","UNKNOWN","NORMAL",,,,"TEST NOT OFFERED",,
"P280601","PASSENGER","26ff5334ad2f96acdfc3dab210f2f59d77f387af4b071c9128d096be71cd32baacf670426879c6685bce57ff3e3c2fbc407ee9dddfdf69c651ee6dbe2f40e224","JE493491","1191395","2021-12-31T00:04:00.000","3","ST LOUIS","MO","63138","F","25",,,"USAGE UNKNOWN","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,,,,,,,,,
"O1255132","DRIVER","83991427f67a99039881775d52ea94bcb67f9c8176ac3fe9a0a24ce8afa69cb6157b69716e426c66b3356a7f68e347c41a7178f9eb94a6106cab3f4df7d24440","JE493488","1191406","2021-12-30T23:57:00.000",,"CHICAGO","IL","60632","M","23","IL","D","USAGE UNKNOWN","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"DISREGARDED CONTROL DEVICES","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1255133","DRIVER","83991427f67a99039881775d52ea94bcb67f9c8176ac3fe9a0a24ce8afa69cb6157b69716e426c66b3356a7f68e347c41a7178f9eb94a6106cab3f4df7d24440","JE493488","1191409","2021-12-30T23:57:00.000",,"CHICAGO","IL","60653","M","37","IL","D","USAGE UNKNOWN","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"P280606","PASSENGER","83991427f67a99039881775d52ea94bcb67f9c8176ac3fe9a0a24ce8afa69cb6157b69716e426c66b3356a7f68e347c41a7178f9eb94a6106cab3f4df7d24440","JE493488","1191406","2021-12-30T23:57:00.000","3",,,,"M","25",,,"USAGE UNKNOWN","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,,,,,,,,,
"P280607","PASSENGER","83991427f67a99039881775d52ea94bcb67f9c8176ac3fe9a0a24ce8afa69cb6157b69716e426c66b3356a7f68e347c41a7178f9eb94a6106cab3f4df7d24440","JE493488","1191406","2021-12-30T23:57:00.000","6",,,,"M","26",,,"USAGE UNKNOWN","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,,,,,,,,,
"O1255126","DRIVER","1a5f6752dbae9d0479bfbbfb3f69b654df9a335851dc56125a9d5a142aca941abb5d94ec9a82d59eff6d0671280524675ed97bf0344a9f3cfa863cd27423cb7c","JE493504","1191399","2021-12-30T23:50:00.000",,,,,"F",,,,"USAGE UNKNOWN","DEPLOYMENT UNKNOWN","NONE","NO INDICATION OF INJURY",,,,"FAILED TO YIELD","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1255127","DRIVER","1a5f6752dbae9d0479bfbbfb3f69b654df9a335851dc56125a9d5a142aca941abb5d94ec9a82d59eff6d0671280524675ed97bf0344a9f3cfa863cd27423cb7c","JE493504","1191403","2021-12-30T23:50:00.000",,"CHICAGO","IL","60617","F","61","IL","D","USAGE UNKNOWN","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,"UNKNOWN","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1255113","DRIVER","d6c9d5c52382e49df3ab10fbe4bae06e2d93ac38a283016915222a525a4b4b03825b2d8021be8cba875b96a58386e132cbcff9c5ca1d34f8b9333b0a5724e8e6","JE493473","1191382","2021-12-30T23:47:00.000",,,,,"X",,"XX",,"USAGE UNKNOWN","DEPLOYMENT UNKNOWN","NONE","NO INDICATION OF INJURY",,,,"UNKNOWN","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1255168","DRIVER","4e3e4a9d49e7d947e4e37317596705b74b58052eaf1937f9ed2a7f7197f4d6d33cc3b04cbbe4fc15342eb74ccb7764d7702d7f69e095b982a6bc20d50aa0c013","JE493570","1191440","2021-12-30T23:46:00.000",,"CHICAGO","IL","60624","M","18","IL","P","USAGE UNKNOWN","DEPLOYED OTHER (KNEE, AIR, BELT, ETC.)","NONE","FATAL","STROGER","CFD",,"DISREGARDED CONTROL DEVICES","NOT OBSCURED","OTHER",,,,"TEST NOT OFFERED",,
"P280616","PASSENGER","4e3e4a9d49e7d947e4e37317596705b74b58052eaf1937f9ed2a7f7197f4d6d33cc3b04cbbe4fc15342eb74ccb7764d7702d7f69e095b982a6bc20d50aa0c013","JE493570","1191440","2021-12-30T23:46:00.000","3",,,,,,,,"USAGE UNKNOWN","DEPLOYED, FRONT","NONE","NO INDICATION OF INJURY","REFUSED",,,,,,,,,,,
"P280617","PASSENGER","4e3e4a9d49e7d947e4e37317596705b74b58052eaf1937f9ed2a7f7197f4d6d33cc3b04cbbe4fc15342eb74ccb7764d7702d7f69e095b982a6bc20d50aa0c013","JE493570","1191440","2021-12-30T23:46:00.000","4",,"IL",,"M","18",,,"USAGE UNKNOWN","DID NOT DEPLOY","NONE","FATAL","STROGER","CFD AMBU 64",,,,,,,,,,
"P280618","PASSENGER","4e3e4a9d49e7d947e4e37317596705b74b58052eaf1937f9ed2a7f7197f4d6d33cc3b04cbbe4fc15342eb74ccb7764d7702d7f69e095b982a6bc20d50aa0c013","JE493570","1191440","2021-12-30T23:46:00.000","6","CHICAGO","IL","60647","M","17",,,"USAGE UNKNOWN","DID NOT DEPLOY","NONE","NONINCAPACITATING INJURY","MASONIC","CFD AMBU 62",,,,,,,,,,
"O1255224","DRIVER","75224392c2599d276dc4bfb5091921e08bfc033f084392dfb3cbed734b3f996914c122115dc5f3f09f222981414ab5db1fcb1ec6cb0ff078dda683a2d2adc551","JE493711","1191492","2021-12-30T23:45:00.000",,,,,"X",,,,"USAGE UNKNOWN","DEPLOYMENT UNKNOWN","NONE","NO INDICATION OF INJURY",,,,"UNKNOWN","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1255122","DRIVER","6a45a5bcda41d615c47fbfe6fa3cf5b4ceeb189798724ffe5196cade131971587eb4f50d43361f111e8e5dcc7eb40b34d57cce56345c8aee638478b2aa42c8f0","JE493492","1191396","2021-12-30T23:40:00.000",,"CHICAGO","IL","60624","M","24","IL",,"SAFETY BELT NOT USED","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,"OTHER","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1256386","DRIVER","b9944f6ef5c3a5c0745fd2578f73c9749e60ec00f38d2e64e2483a7da26becebe0d0eda2112f1a16a3c0fb37ea9338d1ece1af6623bb7a18646c8552a7fc0e5f","JF101350","1192580","2021-12-30T23:38:00.000",,"CHICAGO","IL","60653","M","28","IL","D","USAGE UNKNOWN","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1255104","DRIVER","f0d3f241728d2cd757f1d9f6aa4c0722b23f8027ecabb7d518f15b0e3ef9711a6bcadd2dc0772cb915011bc4b04b1c032bed076df45bdf3bbfd5a0659ab19c2e","JE493467","1191377","2021-12-30T23:23:00.000",,"CHICAGO","IL","60647","M","19","IL","D","USAGE UNKNOWN","DEPLOYED, FRONT","NONE","NO INDICATION OF INJURY",,,,"FAILED TO YIELD","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1255105","DRIVER","f0d3f241728d2cd757f1d9f6aa4c0722b23f8027ecabb7d518f15b0e3ef9711a6bcadd2dc0772cb915011bc4b04b1c032bed076df45bdf3bbfd5a0659ab19c2e","JE493467","1191381","2021-12-30T23:23:00.000",,"CHICAGO","IL","60632","M","18","IL","D","USAGE UNKNOWN","DEPLOYED, COMBINATION","NONE","NO INDICATION OF INJURY",,,,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"P280597","PASSENGER","f0d3f241728d2cd757f1d9f6aa4c0722b23f8027ecabb7d518f15b0e3ef9711a6bcadd2dc0772cb915011bc4b04b1c032bed076df45bdf3bbfd5a0659ab19c2e","JE493467","1191377","2021-12-30T23:23:00.000","3","CHICAGO","IL","60618","F","20",,,"CHILD RESTRAINT NOT USED","DEPLOYED, FRONT","NONE","NO INDICATION OF INJURY",,,,,,,,,,,,
"P280600","PASSENGER","f0d3f241728d2cd757f1d9f6aa4c0722b23f8027ecabb7d518f15b0e3ef9711a6bcadd2dc0772cb915011bc4b04b1c032bed076df45bdf3bbfd5a0659ab19c2e","JE493467","1191381","2021-12-30T23:23:00.000","3","CHICAGO","IL","60623","F","17",,,"USAGE UNKNOWN","DEPLOYED, FRONT","NONE","NO INDICATION OF INJURY",,,,,,,,,,,,
"O1255109","DRIVER","93885d4c6e257e66e5f17f088d82e926465616e05da26aebbe8e35492168c1a9a62d6352a08c1a639f9fdd56abf4262b1cc90e8f43dfffe8b4d6a31efc7ca38f","JE493469","1191379","2021-12-30T23:15:00.000",,,,,"X",,,,"USAGE UNKNOWN","DEPLOYMENT UNKNOWN","UNKNOWN","NO INDICATION OF INJURY",,,,"IMPROPER LANE CHANGE","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1255110","DRIVER","93885d4c6e257e66e5f17f088d82e926465616e05da26aebbe8e35492168c1a9a62d6352a08c1a639f9fdd56abf4262b1cc90e8f43dfffe8b4d6a31efc7ca38f","JE493469","1191380","2021-12-30T23:15:00.000",,"BELLWOOD","IL","60104","F","39","IL","D","SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"NONE","UNKNOWN","NORMAL",,,,"TEST NOT OFFERED",,
"P280599","PASSENGER","93885d4c6e257e66e5f17f088d82e926465616e05da26aebbe8e35492168c1a9a62d6352a08c1a639f9fdd56abf4262b1cc90e8f43dfffe8b4d6a31efc7ca38f","JE493469","1191380","2021-12-30T23:15:00.000","3",,,,"F","76",,,"SAFETY BELT USED","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,,,,,,,,,
"O1255103","DRIVER","41db92eebe41c11061c8fe056ba7b80f1974320ad20374715e878374dd60353784907bfc8241439647040cab146abac4a608e386c3dd4e46d193ced63e169646","JE493450","1191376","2021-12-30T23:10:00.000",,"CHICAGO","IL","60629","M","22","IL","D","USAGE UNKNOWN","DEPLOYED, COMBINATION","NONE","NO INDICATION OF INJURY",,,,"UNKNOWN","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"P280592","PASSENGER","41db92eebe41c11061c8fe056ba7b80f1974320ad20374715e878374dd60353784907bfc8241439647040cab146abac4a608e386c3dd4e46d193ced63e169646","JE493450","1191376","2021-12-30T23:10:00.000","3",,,,"M",,,,"USAGE UNKNOWN","DEPLOYED, COMBINATION","NONE","NO INDICATION OF INJURY",,,,,,,,,,,,
"P280593","PASSENGER","41db92eebe41c11061c8fe056ba7b80f1974320ad20374715e878374dd60353784907bfc8241439647040cab146abac4a608e386c3dd4e46d193ced63e169646","JE493450","1191376","2021-12-30T23:10:00.000","4",,,,,,,,"USAGE UNKNOWN","DEPLOYED, COMBINATION","NONE","NO INDICATION OF INJURY",,,,,,,,,,,,
"P280594","PASSENGER","41db92eebe41c11061c8fe056ba7b80f1974320ad20374715e878374dd60353784907bfc8241439647040cab146abac4a608e386c3dd4e46d193ced63e169646","JE493450","1191376","2021-12-30T23:10:00.000","6",,,,,,,,"USAGE UNKNOWN","DEPLOYED, COMBINATION","NONE","NO INDICATION OF INJURY",,,,,,,,,,,,
"P280595","PASSENGER","41db92eebe41c11061c8fe056ba7b80f1974320ad20374715e878374dd60353784907bfc8241439647040cab146abac4a608e386c3dd4e46d193ced63e169646","JE493450","1191376","2021-12-30T23:10:00.000","10",,,,,,,,"USAGE UNKNOWN","DEPLOYED, COMBINATION","NONE","NO INDICATION OF INJURY",,,,,,,,,,,,
"P280596","PASSENGER","41db92eebe41c11061c8fe056ba7b80f1974320ad20374715e878374dd60353784907bfc8241439647040cab146abac4a608e386c3dd4e46d193ced63e169646","JE493450","1191376","2021-12-30T23:10:00.000","12",,,,,,,,"USAGE UNKNOWN","DEPLOYED, COMBINATION","NONE","NO INDICATION OF INJURY",,,,,,,,,,,,
"O1255111","DRIVER","e95669b125f131d767918554f5008a3179c604f0678b0ee6107345306833438a2ebd3ca736248b34216e35a82b55ed1fb633beace3d1ef6ef7e26ce8474e6046","JE493448","1191394","2021-12-30T23:01:00.000",,"AURORA","IL","60505","M","22","IL",,"USAGE UNKNOWN","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"UNKNOWN","UNKNOWN","NORMAL",,,,"TEST NOT OFFERED",,
"O1255112","DRIVER","e95669b125f131d767918554f5008a3179c604f0678b0ee6107345306833438a2ebd3ca736248b34216e35a82b55ed1fb633beace3d1ef6ef7e26ce8474e6046","JE493448","1191400","2021-12-30T23:01:00.000",,"CHICAGO","IL","60649","M","59","IL",,"USAGE UNKNOWN","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"UNKNOWN","UNKNOWN","NORMAL",,,,"TEST NOT OFFERED",,
"O1255120","DRIVER","f85d56563b36237d88bbbdce4d1fb2b90d87da084d2f0f8aec3e28792cc9e4c9dd491ef29b681a623810e06a58714d4e339cd712058062304e777e31785d5069","JE493460","1191392","2021-12-30T22:59:00.000",,"JOLIET","IL","60432","F","32","IL","D","USAGE UNKNOWN","DEPLOYED, COMBINATION","NONE","REPORTED, NOT EVIDENT","NORTHWESTER HOSPITAL","CFD 41",,"UNKNOWN","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1255121","DRIVER","f85d56563b36237d88bbbdce4d1fb2b90d87da084d2f0f8aec3e28792cc9e4c9dd491ef29b681a623810e06a58714d4e339cd712058062304e777e31785d5069","JE493460","1191401","2021-12-30T22:59:00.000",,"CHICAGO","IL","60629","F","24","IL","D","USAGE UNKNOWN","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,"OTHER","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"P280602","PASSENGER","f85d56563b36237d88bbbdce4d1fb2b90d87da084d2f0f8aec3e28792cc9e4c9dd491ef29b681a623810e06a58714d4e339cd712058062304e777e31785d5069","JE493460","1191392","2021-12-30T22:59:00.000","3","CICERO","IL","60804","F",,,,"USAGE UNKNOWN","DEPLOYED, COMBINATION","NONE","REPORTED, NOT EVIDENT","NORTHWESTERN HOSPITAL","CFD 41",,,,,,,,,,
"P280603","PASSENGER","f85d56563b36237d88bbbdce4d1fb2b90d87da084d2f0f8aec3e28792cc9e4c9dd491ef29b681a623810e06a58714d4e339cd712058062304e777e31785d5069","JE493460","1191401","2021-12-30T22:59:00.000","3","CHICAGO","IL","60614","F","22",,,"USAGE UNKNOWN","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,,,,,,,,,
"P280604","PASSENGER","f85d56563b36237d88bbbdce4d1fb2b90d87da084d2f0f8aec3e28792cc9e4c9dd491ef29b681a623810e06a58714d4e339cd712058062304e777e31785d5069","JE493460","1191401","2021-12-30T22:59:00.000","10","CHICAGO","IL","60629","F","24",,,"USAGE UNKNOWN","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,,,,,,,,,
"P280605","PASSENGER","f85d56563b36237d88bbbdce4d1fb2b90d87da084d2f0f8aec3e28792cc9e4c9dd491ef29b681a623810e06a58714d4e339cd712058062304e777e31785d5069","JE493460","1191401","2021-12-30T22:59:00.000","12","CHICAGO","IL","60629","M","24",,,"USAGE UNKNOWN","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,,,,,,,,,
"O1255137","DRIVER","629846065f2798a16a8e9091cd17f4acb82f422e3d0b799da2739480fea71db9871779f31c60b7785c6b11426a714d1aefe19fadc6a67b71d88445ff23026b95","JE493444","1191411","2021-12-30T22:22:00.000",,"CHICAGO","IL","60641","M",,"IL","A","USAGE UNKNOWN","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,"UNKNOWN","UNKNOWN","IMPAIRED - ALCOHOL",,,,"TEST TAKEN","0.13",
"O1255138","DRIVER","629846065f2798a16a8e9091cd17f4acb82f422e3d0b799da2739480fea71db9871779f31c60b7785c6b11426a714d1aefe19fadc6a67b71d88445ff23026b95","JE493444","1191412","2021-12-30T22:22:00.000",,"CHICAGO","IL","60634","M","23",,,"USAGE UNKNOWN","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,"UNKNOWN","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1255090","DRIVER","3d887ae602b85a8be3b9d0e52bb95cd9e868940ac69d9c74a7c6cd488563b7ae91bff1057bbebad926d3e03b4298d1b7ba549c5d1754db3c4a9bc25189bf0f19","JE493416","1191364","2021-12-30T21:57:00.000",,"CHICAGO","IL","60619","F","23","IL","D","SAFETY BELT USED","DEPLOYED, COMBINATION","NONE","NO INDICATION OF INJURY",,,,"UNKNOWN","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1255091","DRIVER","3d887ae602b85a8be3b9d0e52bb95cd9e868940ac69d9c74a7c6cd488563b7ae91bff1057bbebad926d3e03b4298d1b7ba549c5d1754db3c4a9bc25189bf0f19","JE493416","1191371","2021-12-30T21:57:00.000",,,,,"X",,,,"USAGE UNKNOWN","DEPLOYMENT UNKNOWN","UNKNOWN","NO INDICATION OF INJURY",,,,"UNKNOWN","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"P280587","PASSENGER","3d887ae602b85a8be3b9d0e52bb95cd9e868940ac69d9c74a7c6cd488563b7ae91bff1057bbebad926d3e03b4298d1b7ba549c5d1754db3c4a9bc25189bf0f19","JE493416","1191364","2021-12-30T21:57:00.000","3","CHICAGO","IL","60652","M","23",,,"SAFETY BELT USED","DEPLOYED, COMBINATION","NONE","NO INDICATION OF INJURY","NONE",,,,,,,,,,,
"O1255116","DRIVER","8a7ee0ccd37a0e28999c0c40c4efb99ebe5b09594f56ba8d32a63c231b9d6e0dcd763cc8fc6236b8f8fd8c4eb036425d05aa6acc7f67477c1e6d161978eaeb51","JE493425","1191383","2021-12-30T21:50:00.000",,,,,"F",,,,"USAGE UNKNOWN","DEPLOYMENT UNKNOWN","NONE","NO INDICATION OF INJURY",,,,"IMPROPER PASSING","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
